neighborhood,price,rooms,area,category,price_per_m2
Kamez,80453,2.0,110.21,sale,729.9972779239633
Kamez,75215,2.0,110.61,sale,680.001808154778
Kamez,78700,2.0,101.0,sale,779.2079207920792
Kamez,102000,3.0,112.0,sale,910.7142857142857
Kamez,86700,2.0,99.8,sale,868.7374749498998
Kamez,87000,2.0,108.76,sale,799.9264435454211
Kamez,80170,2.0,100.22,sale,799.9401317102374
Kamez,87000,2.0,100.22,sale,868.0902015565755
Kamez,67000,1.0,75.0,sale,893.3333333333334
Kamez,90740,2.0,117.0,sale,775.5555555555555
Kamez,82609,2.0,103.26,sale,800.0096842920782
Kamez,58000,2.0,68.0,sale,852.9411764705883
Kamez,45000,1.0,65.0,sale,692.3076923076923
Kamez,130500,4.0,145.0,sale,900.0
Kamez,93200,3.0,104.0,sale,896.1538461538462
Kamez,170000,5.0,230.0,sale,739.1304347826087
Kamez,75000,3.0,90.0,sale,833.3333333333334
Kamez,80000,3.0,105.0,sale,761.9047619047619
Kamez,80200,3.0,106.0,sale,756.6037735849056
Kombinat,182000,2.0,160.0,sale,1137.5
Kombinat,350000,6.0,430.0,sale,813.953488372093
Kombinat,105000,2.0,59.0,sale,1779.6610169491526
Kombinat,75000,1.0,63.0,sale,1190.4761904761904
Kombinat,105000,1.0,58.97,sale,1780.5663896896729
Kombinat,162000,4.0,195.0,sale,830.7692307692307
Kombinat,90000,2.0,67.0,sale,1343.2835820895523
Kombinat,40000,2.0,41.0,sale,975.609756097561
Kombinat,45000,3.0,100.0,rent,450.0
Kombinat,105000,3.0,90.0,sale,1166.6666666666667
Kombinat,70000,2.0,59.0,sale,1186.4406779661017
Kombinat,40000,2.0,90.0,rent,444.44444444444446
Kombinat,100000,2.0,60.0,sale,1666.6666666666667
Kombinat,43000,1.0,82.0,rent,524.390243902439
Kombinat,85000,4.0,103.1,sale,824.4422890397673
Kombinat,210000,3.0,133.0,sale,1578.9473684210527
Kombinat,125000,2.0,93.0,sale,1344.0860215053763
Kombinat,70000,3.0,59.0,sale,1186.4406779661017
Kombinat,90000,3.0,67.0,sale,1343.2835820895523
Kombinat,64000,1.0,61.0,sale,1049.1803278688524
Kombinat,72100,1.0,64.0,sale,1126.5625
Kombinat,82000,1.0,64.0,sale,1281.25
Kombinat,73000,3.0,93.0,sale,784.9462365591398
Kombinat,70000,2.0,63.0,sale,1111.111111111111
Komuna e Parisit,310000,4.0,141.0,sale,2198.581560283688
Komuna e Parisit,300000,2.0,108.0,sale,2777.777777777778
Komuna e Parisit,300000,3.0,117.2,sale,2559.726962457338
Komuna e Parisit,131000,2.0,48.0,sale,2729.1666666666665
Komuna e Parisit,259500,2.0,100.7,sale,2576.9612711022837
Komuna e Parisit,210000,2.0,90.0,sale,2333.3333333333335
Komuna e Parisit,312000,2.0,130.0,sale,2400.0
Komuna e Parisit,295000,3.0,150.0,sale,1966.6666666666667
Komuna e Parisit,180000,1.0,63.5,sale,2834.6456692913384
Komuna e Parisit,182000,2.0,88.0,sale,2068.181818181818
Komuna e Parisit,60000,2.0,100.0,rent,600.0
Komuna e Parisit,315000,5.0,164.0,sale,1920.7317073170732
Komuna e Parisit,180300,1.0,63.5,sale,2839.3700787401576
Komuna e Parisit,300000,2.0,110.0,sale,2727.2727272727275
Komuna e Parisit,170000,2.0,94.0,sale,1808.5106382978724
Komuna e Parisit,310000,4.0,150.0,sale,2066.6666666666665
Komuna e Parisit,298480,3.0,146.0,sale,2044.3835616438357
Komuna e Parisit,252000,2.0,100.7,sale,2502.4826216484607
Komuna e Parisit,295000,3.0,130.0,sale,2269.230769230769
Komuna e Parisit,257000,2.0,125.0,sale,2056.0
Komuna e Parisit,330000,3.0,108.0,sale,3055.5555555555557
Komuna e Parisit,288000,3.0,114.0,sale,2526.315789473684
Komuna e Parisit,330000,4.0,140.8,sale,2343.75
Laprake,113000,2.0,75.0,sale,1506.6666666666667
Laprake,148000,2.0,98.0,sale,1510.204081632653
Laprake,97000,1.0,58.0,sale,1672.4137931034484
Laprake,175000,2.0,116.0,sale,1508.6206896551723
Laprake,42000,2.0,74.0,rent,567.5675675675676
Laprake,91000,2.0,60.0,sale,1516.6666666666667
Laprake,280000,4.0,200.0,sale,1400.0
Laprake,192000,2.0,100.0,sale,1920.0
Laprake,120000,1.0,72.5,sale,1655.1724137931035
Laprake,97000,2.0,76.0,sale,1276.3157894736842
Laprake,159000,3.0,100.0,sale,1590.0
Laprake,138000,1.0,70.0,sale,1971.4285714285713
Laprake,97000,2.0,57.0,sale,1701.7543859649122
Laprake,154800,2.0,103.0,sale,1502.9126213592233
Laprake,175350,2.0,117.0,sale,1498.7179487179487
Laprake,170000,2.0,118.0,sale,1440.677966101695
Laprake,145000,1.0,76.0,sale,1907.8947368421052
Laprake,150000,2.0,89.0,sale,1685.3932584269662
Laprake,230000,2.0,125.0,sale,1840.0
Laprake,235000,2.0,105.0,sale,2238.095238095238
Laprake,233000,2.0,126.0,sale,1849.2063492063492
Laprake,88000,1.0,42.0,sale,2095.2380952380954
Laprake,197000,2.0,131.0,sale,1503.8167938931297
Laprake,175000,2.0,117.0,sale,1495.7264957264956
Laprake,205000,3.0,198.0,sale,1035.3535353535353
Laprake,107000,2.0,82.0,sale,1304.878048780488
Laprake,113500,2.0,87.0,sale,1304.5977011494253
Laprake,122500,2.0,94.0,sale,1303.1914893617022
Laprake,114000,2.0,87.0,sale,1310.344827586207
Laprake,142000,2.0,87.0,sale,1632.183908045977
Laprake,140000,2.0,101.0,sale,1386.1386138613861
Laprake,150000,3.0,96.0,sale,1562.5
Medreseja,153000,1.0,81.0,sale,1888.888888888889
Medreseja,60000,1.0,74.0,rent,810.8108108108108
Medreseja,40000,1.0,60.0,rent,666.6666666666666
Medreseja,155000,1.0,72.0,sale,2152.777777777778
Medreseja,55000,1.0,74.0,rent,743.2432432432432
Medreseja,120000,2.0,65.0,sale,1846.1538461538462
Medreseja,188700,2.0,111.0,sale,1700.0
Medreseja,185000,2.0,89.0,sale,2078.6516853932585
Medreseja,185000,3.0,90.0,sale,2055.5555555555557
Medreseja,400000,,283.0,sale,1413.4275618374559
Medreseja,185000,2.0,90.0,sale,2055.5555555555557
Medreseja,188700,3.0,111.0,sale,1700.0
Medreseja,400000,1.0,283.0,sale,1413.4275618374559
Medreseja,145000,3.0,120.0,sale,1208.3333333333333
Medreseja,200000,1.0,183.0,sale,1092.896174863388
Medreseja,141000,1.0,90.0,sale,1566.6666666666667
Medreseja,40000,2.0,70.0,rent,571.4285714285714
Medreseja,191000,2.0,99.0,sale,1929.2929292929293
Medreseja,145000,2.0,108.0,sale,1342.5925925925926
Medreseja,150000,3.0,65.0,sale,2307.6923076923076
Myslym Shyri,230000,2.0,112.0,sale,2053.5714285714284
Myslym Shyri,265000,2.0,93.0,sale,2849.462365591398
Myslym Shyri,186000,3.0,74.0,sale,2513.5135135135133
Myslym Shyri,300000,3.0,94.0,sale,3191.4893617021276
Myslym Shyri,227500,3.0,91.0,sale,2500.0
Myslym Shyri,230000,3.0,97.0,rent,2371.134020618557
Myslym Shyri,63000,1.0,55.0,rent,1145.4545454545455
Myslym Shyri,280000,3.0,113.0,sale,2477.8761061946902
Myslym Shyri,65000,1.0,55.0,rent,1181.8181818181818
Myslym Shyri,142000,1.0,75.0,sale,1893.3333333333333
